Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
Mediterranean,2019,Mar,Unknown,2.0,2,36.0,Unknown,2.0,Unknown,Drowning,Greece,"38.362368696592, 26.172509473654",Eastern Mediterranean
Mediterranean,2019,Mar,4.0,Unknown,4,11.0,3.0,Unknown,1.0,Drowning,Turkey,"39.441975591614, 26.378816195919",Eastern Mediterranean
Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Spain,"35.871901875921, -5.343037665842",Western Mediterranean
Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Morocco,"35.635115912988, -5.275650103548",Western Mediterranean
Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.334475177429, -98.069823987538",Unknown
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Southeast Asia,2019,Mar,8.0,2.0,10,Unknown,1.0,Unknown,Unknown,Accident,Myanmar,"13.865704814542, 99.587248723929",Unknown
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"24.057148900000, -105.457669800000",Unknown
Mediterranean,2019,Mar,1.0,3.0,4,15.0,Unknown,Unknown,1.0,Drowning,Libya,"32.816243467052, 12.530851413107",Central Mediterranean
Mediterranean,2019,Mar,3.0,Unknown,3,52.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.267895220573, -2.799562392362",Western Mediterranean
Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.563914159609, -103.492111622910",Unknown
North Africa,2019,Mar,Unknown,19.0,19,1.0,Unknown,Unknown,Unknown,Drowning,Morocco,"29.425766218075, -10.453333285156",Western African
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Unknown
Mediterranean,2019,Mar,1.0,44.0,45,22.0,3.0,Unknown,1.0,Drowning,Morocco,"35.298258842764, -2.688431354400",Western Mediterranean
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.794415600000, -112.446447300000",Unknown
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Unknown
Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Drowning,"Lesvos, Greece","39.014895057350, 26.180971588785",Eastern Mediterranean
Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,"Lesvos, Greece","39.270273892269, 26.398878350778",Eastern Mediterranean
Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.817109118023, 12.877722158656",Central Mediterranean
Europe,2019,Mar,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Accident,Serbia,"45.122436600000, 19.220929400000",Western Balkans
Europe,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Suffocation,France,"50.971622839886, 1.858666925932",Unknown
Mediterranean,2019,Mar,Unknown,2.0,2,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.830914360483, 12.781146358787",Central Mediterranean
Mediterranean,2019,Mar,3.0,Unknown,3,9.0,Unknown,3.0,2.0,Drowning,Greece,"37.765329835283, 27.098161931733",Eastern Mediterranean
Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Cardiac arrest,Colombia,"8.642780272046, -77.529404492532",Unknown
Central America,2019,Mar,24.0,Unknown,24,33.0,11.0,13.0,5.0,Accident,Mexico,"16.879242771128, -92.916367624797",Unknown
US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Central America,2019,Mar,2.0,Unknown,2,8.0,Unknown,Unknown,Unknown,Murdered,Mexico,"16.345883871687, -92.595581925608",Unknown
Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.907899477687, -5.347827507452",Western Mediterranean
Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"22.172888700000, -100.967452800000",Unknown
Mediterranean,2019,Feb,2.0,4.0,6,Unknown,1.0,1.0,Unknown,Drowning,Morocco,"35.856284991833, -5.854248522049",Western Mediterranean
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Unknown
