index,Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route,latitud,longitud,temperatureMax,temperatureMin,uvIndex
0,Mediterranean,2019,Mar,Unknown,2.0,2,36.0,Unknown,2.0,Unknown,Drowning,Greece,"38.362368696592, 26.172509473654",Eastern Mediterranean,38.362368696592,26.172509473654,61.58,37.64,5
1,Mediterranean,2019,Mar,4.0,Unknown,4,11.0,3.0,Unknown,1.0,Drowning,Turkey,"39.441975591614, 26.378816195919",Eastern Mediterranean,39.441975591614,26.378816195919,61.39,48.17,5
2,Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Spain,"35.871901875921, -5.343037665842",Western Mediterranean,35.871901875921,-5.343037665842,66.87,57.15,4
3,Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Morocco,"35.635115912988, -5.275650103548",Western Mediterranean,35.635115912988,-5.275650103548,71.46,54.13,5
4,Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.334475177429, -98.069823987538",Unknown,19.334475177429,-98.069823987538,74.12,41.15,13
5,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,74.48,37.75,9
6,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,74.48,37.75,9
7,Southeast Asia,2019,Mar,8.0,2.0,10,Unknown,1.0,Unknown,Unknown,Accident,Myanmar,"13.865704814542, 99.587248723929",Unknown,13.865704814542,99.587248723929,98.65,72.94,10
9,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,74.48,37.75,9
10,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,74.48,37.75,9
11,Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"24.057148900000, -105.457669800000",Unknown,24.0571489,-105.4576698,71.45,34.11,11
12,Mediterranean,2019,Mar,1.0,3.0,4,15.0,Unknown,Unknown,1.0,Drowning,Libya,"32.816243467052, 12.530851413107",Central Mediterranean,32.816243467052,12.530851413107,63.65,48.38,6
13,Mediterranean,2019,Mar,3.0,Unknown,3,52.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.267895220573, -2.799562392362",Western Mediterranean,35.267895220573,-2.799562392362,67.36,52.86,5
14,Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.563914159609, -103.492111622910",Unknown,25.563914159609,-103.49211162291,87.45,54.74,10
15,North Africa,2019,Mar,Unknown,19.0,19,1.0,Unknown,Unknown,Unknown,Drowning,Morocco,"29.425766218075, -10.453333285156",Western African,29.425766218075,-10.453333285156,63.18,60.57,7
16,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Unknown,32.3318032,-112.5245093,73.5,43.92,8
17,Mediterranean,2019,Mar,1.0,44.0,45,22.0,3.0,Unknown,1.0,Drowning,Morocco,"35.298258842764, -2.688431354400",Western Mediterranean,35.298258842764,-2.6884313544,66.61,55.64,6
18,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.794415600000, -112.446447300000",Unknown,31.7944156,-112.4464473,79.17,40.23,9
20,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Unknown,32.0577019,-112.1430215,69.51,41.5,9
21,Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Drowning,"Lesvos, Greece","39.014895057350, 26.180971588785",Eastern Mediterranean,39.01489505735,26.180971588785,63.39,52.05,5
22,Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,"Lesvos, Greece","39.270273892269, 26.398878350778",Eastern Mediterranean,39.270273892269,26.398878350778,61.74,48.44,5
23,Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.817109118023, 12.877722158656",Central Mediterranean,32.817109118023,12.877722158656,62.98,49.54,6
24,Europe,2019,Mar,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Accident,Serbia,"45.122436600000, 19.220929400000",Western Balkans,45.1224366,19.2209294,63.31,38.85,3
25,Europe,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Suffocation,France,"50.971622839886, 1.858666925932",Unknown,50.971622839886,1.858666925932,48.7,45.61,2
26,Mediterranean,2019,Mar,Unknown,2.0,2,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.830914360483, 12.781146358787",Central Mediterranean,32.830914360483,12.781146358787,62.96,49.17,6
27,Mediterranean,2019,Mar,3.0,Unknown,3,9.0,Unknown,3.0,2.0,Drowning,Greece,"37.765329835283, 27.098161931733",Eastern Mediterranean,37.765329835283,27.098161931733,58.46,38.75,5
28,Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Cardiac arrest,Colombia,"8.642780272046, -77.529404492532",Unknown,8.642780272046,-77.529404492532,86.2,74.75,9
29,Central America,2019,Mar,24.0,Unknown,24,33.0,11.0,13.0,5.0,Accident,Mexico,"16.879242771128, -92.916367624797",Unknown,16.879242771128,-92.916367624797,79.84,56.95,12
30,US-Mexico Border,2019,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,74.48,37.75,9
32,Central America,2019,Mar,2.0,Unknown,2,8.0,Unknown,Unknown,Unknown,Murdered,Mexico,"16.345883871687, -92.595581925608",Unknown,16.345883871687,-92.595581925608,93.14,63.77,12
33,Mediterranean,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.907899477687, -5.347827507452",Western Mediterranean,35.907899477687,-5.347827507452,65.33,58.21,4
34,Central America,2019,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"22.172888700000, -100.967452800000",Unknown,22.1728887,-100.9674528,62.15,51.44,3
35,Mediterranean,2019,Feb,2.0,4.0,6,Unknown,1.0,1.0,Unknown,Drowning,Morocco,"35.856284991833, -5.854248522049",Western Mediterranean,35.856284991833,-5.854248522049,67.14,42.75,4
36,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Unknown,32.0577019,-112.1430215,67.14,42.75,4
37,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057701900000, -112.143021500000",Unknown,32.0577019,-112.1430215,73.32,46.0,4
38,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.291122000000, -111.377669100000",Unknown,32.291122,-111.3776691,75.19,55.91,4
39,Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.799680261076, 12.740310887952",Central Mediterranean,32.799680261076,12.740310887952,62.1,48.39,3
40,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.620958685162, -100.160775037960",Unknown,28.620958685162,-100.16077503796,68.02,34.73,5
41,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.802384100000, -110.262284200000",Unknown,31.8023841,-110.2622842,70.17,43.99,4
42,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Unknown,32.3318032,-112.5245093,75.48,55.7,4
43,Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.795883457110, 12.734512549273",Central Mediterranean,32.79588345711,12.734512549273,70.6,53.91,4
46,North Africa,2019,Feb,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Unknown,Morocco,"35.143072914540, -2.987014300369",Unknown,35.14307291454,-2.987014300369,64.65,47.99,3
47,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.718723271107, -100.506647433010",Unknown,28.718723271107,-100.50664743301,70.17,43.99,4
48,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Unknown,32.3318032,-112.5245093,64.38,50.97,3
49,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"California, USA","32.563023500000, -116.940790500000",Unknown,32.5630235,-116.9407905,68.05,55.37,4
50,US-Mexico Border,2019,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.131022830084, -98.053451252909",Unknown,27.131022830084,-98.053451252909,61.96,53.53,3
51,Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.004694276199, -5.509231863325",Western Mediterranean,36.004694276199,-5.509231863325,54.18,41.69,3
52,Middle East,2019,Feb,3.0,Unknown,3,Unknown,3.0,Unknown,Unknown,Drowning,Turkey,"36.919584700000, 37.034761500000",Unknown,36.9195847,37.0347615,73.9,49.45,4
53,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.705996627134, -115.159694515790",Unknown,32.705996627134,-115.15969451579,90.54,65.12,9
54,Central America,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Cardiac arrest,Guatemala,"14.676488505722, -92.146375389048",Unknown,14.676488505722,-92.146375389048,63.31,51.75,3
55,US-Mexico Border,2019,Feb,1.0,Unknown,1,2.0,1.0,Unknown,Unknown,Accident,Mexico,"32.542375795428, -116.999537459500",Unknown,32.542375795428,-116.9995374595,70.35,38.6,5
56,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,70.35,38.6,5
57,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,76.71,38.32,6
58,Central America,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"22.164571000000, -100.938266000000",Unknown,22.164571,-100.938266,56.06,34.07,2
59,Middle East,2019,Feb,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,Greece,"41.135599001556, 26.326539051871",Unknown,41.135599001556,26.326539051871,64.32,53.68,4
60,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.982280497005, -98.267379508161",Unknown,26.982280497005,-98.267379508161,64.76,48.03,3
61,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.700360570000, -100.510757707230",Unknown,28.70036057,-100.51075770723,60.98,54.15,3
62,Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Unknown,Spain,"35.893361197022, -5.320987701416",Western Mediterranean,35.893361197022,-5.320987701416,70.92,55.63,4
63,Mediterranean,2019,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.207914877621, 16.508365236703",Central Mediterranean,31.207914877621,16.508365236703,68.63,54.72,4
64,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.040028051146, -98.103990938813",Unknown,27.040028051146,-98.103990938813,61.78,54.2,4
65,US-Mexico Border,2019,Feb,Unknown,1.0,1,1.0,Unknown,1.0,Unknown,Drowning,Mexico,"26.094483422113, -98.270738236367",Unknown,26.094483422113,-98.270738236367,74.38,35.09,8
66,Central America,2019,Feb,1.0,Unknown,1,7.0,Unknown,1.0,Unknown,Accident,Mexico,"19.984811631957, -101.150053343960",Unknown,19.984811631957,-101.15005334396,62.19,47.79,2
67,Mediterranean,2019,Feb,Unknown,1.0,1,Unknown,1.0,Unknown,1.0,Drowning,"Lesvos, Greece","39.417612220935, 26.393699500607",Eastern Mediterranean,39.417612220935,26.393699500607,67.67,54.39,4
